"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 01 16:19:33 GMT 2021","Sun Aug 01 16:19:58 GMT 2021","24299","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Sun Aug 01 16:19:09 GMT 2021","Sun Aug 01 16:19:33 GMT 2021","24699","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Sun Aug 01 16:15:31 GMT 2021","Sun Aug 01 16:15:33 GMT 2021","2042","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Sun Aug 01 16:15:18 GMT 2021","Sun Aug 01 16:15:23 GMT 2021","5117","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Sun Aug 01 16:14:00 GMT 2021","Sun Aug 01 16:14:08 GMT 2021","7982","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Sun Aug 01 16:14:09 GMT 2021","Sun Aug 01 16:15:18 GMT 2021","68958","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Sun Aug 01 16:20:22 GMT 2021","Sun Aug 01 16:20:23 GMT 2021","1139","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 01 16:15:23 GMT 2021","Sun Aug 01 16:15:25 GMT 2021","1250","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Sun Aug 01 16:14:08 GMT 2021","Sun Aug 01 16:14:09 GMT 2021","912","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Sun Aug 01 16:15:33 GMT 2021","Sun Aug 01 16:19:09 GMT 2021","215609","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"broken","Sun Aug 01 16:19:58 GMT 2021","Sun Aug 01 16:20:22 GMT 2021","24646","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Sun Aug 01 16:15:25 GMT 2021","Sun Aug 01 16:15:31 GMT 2021","6246","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
