"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 05 16:40:05 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","138","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","141","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
"broken","Thu Aug 05 16:39:58 GMT 2021","Thu Aug 05 16:40:03 GMT 2021","4992","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","143","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"broken","Thu Aug 05 16:40:03 GMT 2021","Thu Aug 05 16:40:03 GMT 2021","226","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","138","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"broken","Thu Aug 05 16:40:05 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","139","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Thu Aug 05 16:40:03 GMT 2021","Thu Aug 05 16:40:03 GMT 2021","171","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"broken","Thu Aug 05 16:40:03 GMT 2021","Thu Aug 05 16:40:03 GMT 2021","161","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","176","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"broken","Thu Aug 05 16:40:04 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","146","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Thu Aug 05 16:40:05 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","158","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"broken","Thu Aug 05 16:40:03 GMT 2021","Thu Aug 05 16:40:04 GMT 2021","140","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"skipped","Thu Aug 05 16:40:05 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"skipped","Thu Aug 05 16:40:05 GMT 2021","Thu Aug 05 16:40:05 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
