"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 15 18:04:33 GMT 2021","Mon Nov 15 18:05:37 GMT 2021","63320","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
"passed","Mon Nov 15 18:05:37 GMT 2021","Mon Nov 15 18:05:42 GMT 2021","5175","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
"passed","Mon Nov 15 18:04:07 GMT 2021","Mon Nov 15 18:04:09 GMT 2021","1219","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Mon Nov 15 18:05:46 GMT 2021","Mon Nov 15 18:05:49 GMT 2021","2100","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Mon Nov 15 18:04:24 GMT 2021","Mon Nov 15 18:04:25 GMT 2021","786","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Mon Nov 15 18:04:09 GMT 2021","Mon Nov 15 18:04:15 GMT 2021","6174","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"failed","Mon Nov 15 18:05:49 GMT 2021","Mon Nov 15 18:08:25 GMT 2021","156147","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Mon Nov 15 18:05:42 GMT 2021","Mon Nov 15 18:05:46 GMT 2021","4785","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"passed","Mon Nov 15 18:04:15 GMT 2021","Mon Nov 15 18:04:24 GMT 2021","9659","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
"passed","Mon Nov 15 18:04:32 GMT 2021","Mon Nov 15 18:04:33 GMT 2021","1458","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Mon Nov 15 18:04:29 GMT 2021","Mon Nov 15 18:04:32 GMT 2021","3040","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Mon Nov 15 18:03:58 GMT 2021","Mon Nov 15 18:04:07 GMT 2021","8930","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"skipped","Mon Nov 15 18:04:25 GMT 2021","Mon Nov 15 18:04:25 GMT 2021","0","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Mon Nov 15 18:04:25 GMT 2021","Mon Nov 15 18:04:29 GMT 2021","3410","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
