"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 14:42:40 GMT 2021","Sat Aug 14 14:42:49 GMT 2021","9241","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"passed","Sat Aug 14 14:44:16 GMT 2021","Sat Aug 14 14:44:18 GMT 2021","2186","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Sat Aug 14 14:44:02 GMT 2021","Sat Aug 14 14:44:04 GMT 2021","1239","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Sat Aug 14 14:44:11 GMT 2021","Sat Aug 14 14:44:16 GMT 2021","4800","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"failed","Sat Aug 14 14:42:58 GMT 2021","Sat Aug 14 14:43:00 GMT 2021","1307","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"failed","Sat Aug 14 14:44:18 GMT 2021","Sat Aug 14 14:46:34 GMT 2021","135501","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Sat Aug 14 14:42:49 GMT 2021","Sat Aug 14 14:42:57 GMT 2021","8461","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
"passed","Sat Aug 14 14:42:57 GMT 2021","Sat Aug 14 14:42:58 GMT 2021","985","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Sat Aug 14 14:44:08 GMT 2021","Sat Aug 14 14:44:11 GMT 2021","3049","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Sat Aug 14 14:44:04 GMT 2021","Sat Aug 14 14:44:05 GMT 2021","1285","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Sat Aug 14 14:44:05 GMT 2021","Sat Aug 14 14:44:08 GMT 2021","3239","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
"passed","Sat Aug 14 14:43:58 GMT 2021","Sat Aug 14 14:44:02 GMT 2021","4241","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"passed","Sat Aug 14 14:46:34 GMT 2021","Sat Aug 14 14:46:39 GMT 2021","4922","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
"passed","Sat Aug 14 14:43:00 GMT 2021","Sat Aug 14 14:43:58 GMT 2021","58342","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
