"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 16:42:48 GMT 2021","Thu Aug 05 16:42:48 GMT 2021","907","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"skipped","Thu Aug 05 16:46:11 GMT 2021","Thu Aug 05 16:46:11 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Thu Aug 05 16:42:21 GMT 2021","Thu Aug 05 16:42:42 GMT 2021","21586","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Thu Aug 05 16:42:42 GMT 2021","Thu Aug 05 16:42:48 GMT 2021","5352","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"passed","Thu Aug 05 16:43:56 GMT 2021","Thu Aug 05 16:44:03 GMT 2021","6366","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"passed","Thu Aug 05 16:44:17 GMT 2021","Thu Aug 05 16:46:11 GMT 2021","113393","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Thu Aug 05 16:43:55 GMT 2021","Thu Aug 05 16:43:56 GMT 2021","1476","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Thu Aug 05 16:43:54 GMT 2021","Thu Aug 05 16:43:55 GMT 2021","1145","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
"skipped","Thu Aug 05 16:46:11 GMT 2021","Thu Aug 05 16:46:11 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Thu Aug 05 16:42:48 GMT 2021","Thu Aug 05 16:43:48 GMT 2021","59895","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Thu Aug 05 16:44:15 GMT 2021","Thu Aug 05 16:44:17 GMT 2021","2038","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Thu Aug 05 16:44:11 GMT 2021","Thu Aug 05 16:44:15 GMT 2021","3899","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"skipped","Thu Aug 05 16:46:11 GMT 2021","Thu Aug 05 16:46:11 GMT 2021","0","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Thu Aug 05 16:46:11 GMT 2021","Thu Aug 05 16:46:12 GMT 2021","1183","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Thu Aug 05 16:43:48 GMT 2021","Thu Aug 05 16:43:54 GMT 2021","5270","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Thu Aug 05 16:44:03 GMT 2021","Thu Aug 05 16:44:11 GMT 2021","8509","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
