"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 17:52:06 GMT 2021","Mon Aug 16 17:52:07 GMT 2021","1110","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Mon Aug 16 17:51:58 GMT 2021","Mon Aug 16 17:52:04 GMT 2021","6555","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"passed","Mon Aug 16 17:52:04 GMT 2021","Mon Aug 16 17:52:06 GMT 2021","1217","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Mon Aug 16 17:50:54 GMT 2021","Mon Aug 16 17:51:58 GMT 2021","64220","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
"passed","Mon Aug 16 17:52:07 GMT 2021","Mon Aug 16 17:52:10 GMT 2021","3116","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
"passed","Mon Aug 16 17:50:53 GMT 2021","Mon Aug 16 17:50:54 GMT 2021","961","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Mon Aug 16 17:52:18 GMT 2021","Mon Aug 16 17:54:20 GMT 2021","122192","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Mon Aug 16 17:50:52 GMT 2021","Mon Aug 16 17:50:53 GMT 2021","743","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Mon Aug 16 17:50:43 GMT 2021","Mon Aug 16 17:50:52 GMT 2021","8608","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
"passed","Mon Aug 16 17:52:13 GMT 2021","Mon Aug 16 17:52:16 GMT 2021","3411","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"passed","Mon Aug 16 17:52:16 GMT 2021","Mon Aug 16 17:52:18 GMT 2021","2013","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Mon Aug 16 17:52:10 GMT 2021","Mon Aug 16 17:52:13 GMT 2021","2880","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Mon Aug 16 17:50:35 GMT 2021","Mon Aug 16 17:50:43 GMT 2021","8402","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"passed","Mon Aug 16 17:54:20 GMT 2021","Mon Aug 16 17:54:25 GMT 2021","4278","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
