"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 18:18:33 GMT 2021","Thu Aug 12 18:18:34 GMT 2021","866","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Thu Aug 12 18:18:24 GMT 2021","Thu Aug 12 18:18:33 GMT 2021","8855","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"passed","Thu Aug 12 18:19:50 GMT 2021","Thu Aug 12 18:19:53 GMT 2021","3363","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"passed","Thu Aug 12 18:22:05 GMT 2021","Thu Aug 12 18:22:09 GMT 2021","3844","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Thu Aug 12 18:19:53 GMT 2021","Thu Aug 12 18:19:56 GMT 2021","2914","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
"passed","Thu Aug 12 18:18:34 GMT 2021","Thu Aug 12 18:18:35 GMT 2021","1051","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Thu Aug 12 18:19:56 GMT 2021","Thu Aug 12 18:20:01 GMT 2021","4688","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Thu Aug 12 18:20:03 GMT 2021","Thu Aug 12 18:22:05 GMT 2021","121980","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Thu Aug 12 18:18:35 GMT 2021","Thu Aug 12 18:19:41 GMT 2021","66025","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Thu Aug 12 18:18:01 GMT 2021","Thu Aug 12 18:18:24 GMT 2021","22605","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Thu Aug 12 18:19:41 GMT 2021","Thu Aug 12 18:19:47 GMT 2021","6289","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Thu Aug 12 18:20:01 GMT 2021","Thu Aug 12 18:20:03 GMT 2021","1973","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Thu Aug 12 18:19:48 GMT 2021","Thu Aug 12 18:19:50 GMT 2021","1330","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Thu Aug 12 18:19:47 GMT 2021","Thu Aug 12 18:19:48 GMT 2021","1216","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
