"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 14:41:45 GMT 2021","Sat Aug 14 14:41:49 GMT 2021","3770","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Sat Aug 14 14:41:49 GMT 2021","Sat Aug 14 14:41:50 GMT 2021","1280","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
"passed","Sat Aug 14 14:40:37 GMT 2021","Sat Aug 14 14:41:45 GMT 2021","67356","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Sat Aug 14 14:41:54 GMT 2021","Sat Aug 14 14:41:56 GMT 2021","2318","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
"passed","Sat Aug 14 14:42:00 GMT 2021","Sat Aug 14 14:42:02 GMT 2021","2134","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Sat Aug 14 14:44:12 GMT 2021","Sat Aug 14 14:44:16 GMT 2021","3958","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"failed","Sat Aug 14 14:42:02 GMT 2021","Sat Aug 14 14:44:12 GMT 2021","130445","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Sat Aug 14 14:40:18 GMT 2021","Sat Aug 14 14:40:27 GMT 2021","9269","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Sat Aug 14 14:40:27 GMT 2021","Sat Aug 14 14:40:36 GMT 2021","8456","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"passed","Sat Aug 14 14:40:36 GMT 2021","Sat Aug 14 14:40:36 GMT 2021","825","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Sat Aug 14 14:41:51 GMT 2021","Sat Aug 14 14:41:54 GMT 2021","2692","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"passed","Sat Aug 14 14:41:56 GMT 2021","Sat Aug 14 14:42:00 GMT 2021","3193","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Sat Aug 14 14:41:50 GMT 2021","Sat Aug 14 14:41:51 GMT 2021","1371","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"failed","Sat Aug 14 14:40:36 GMT 2021","Sat Aug 14 14:40:37 GMT 2021","1090","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
