"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 15:58:16 GMT 2021","Tue Aug 03 15:58:17 GMT 2021","1180","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 03 15:53:56 GMT 2021","Tue Aug 03 15:54:54 GMT 2021","58835","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 15:53:40 GMT 2021","Tue Aug 03 15:53:55 GMT 2021","14960","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Tue Aug 03 15:55:09 GMT 2021","Tue Aug 03 15:55:11 GMT 2021","2096","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"broken","Tue Aug 03 15:57:03 GMT 2021","Tue Aug 03 15:57:27 GMT 2021","24698","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Tue Aug 03 15:55:03 GMT 2021","Tue Aug 03 15:55:09 GMT 2021","6195","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Tue Aug 03 15:55:01 GMT 2021","Tue Aug 03 15:55:03 GMT 2021","1390","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"broken","Tue Aug 03 15:57:51 GMT 2021","Tue Aug 03 15:58:16 GMT 2021","24756","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Tue Aug 03 15:57:27 GMT 2021","Tue Aug 03 15:57:51 GMT 2021","24101","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Tue Aug 03 15:54:54 GMT 2021","Tue Aug 03 15:55:01 GMT 2021","6874","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 15:53:55 GMT 2021","Tue Aug 03 15:53:56 GMT 2021","851","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Tue Aug 03 15:55:11 GMT 2021","Tue Aug 03 15:57:03 GMT 2021","111479","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
