"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 15:50:26 GMT 2021","Tue Aug 03 15:50:27 GMT 2021","1153","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Tue Aug 03 15:49:13 GMT 2021","Tue Aug 03 15:49:37 GMT 2021","24047","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Tue Aug 03 15:45:56 GMT 2021","Tue Aug 03 15:46:09 GMT 2021","13278","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Tue Aug 03 15:46:09 GMT 2021","Tue Aug 03 15:46:10 GMT 2021","818","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Tue Aug 03 15:47:13 GMT 2021","Tue Aug 03 15:47:15 GMT 2021","1169","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 15:47:15 GMT 2021","Tue Aug 03 15:47:18 GMT 2021","3303","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Tue Aug 03 15:49:37 GMT 2021","Tue Aug 03 15:50:02 GMT 2021","24713","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Tue Aug 03 15:50:02 GMT 2021","Tue Aug 03 15:50:26 GMT 2021","24319","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Tue Aug 03 15:46:10 GMT 2021","Tue Aug 03 15:47:07 GMT 2021","57525","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 15:47:20 GMT 2021","Tue Aug 03 15:49:13 GMT 2021","112991","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 15:47:07 GMT 2021","Tue Aug 03 15:47:13 GMT 2021","6151","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 15:47:18 GMT 2021","Tue Aug 03 15:47:20 GMT 2021","1938","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
