"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 16:29:29 GMT 2021","Tue Aug 03 16:29:33 GMT 2021","3817","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Tue Aug 03 16:31:37 GMT 2021","Tue Aug 03 16:32:04 GMT 2021","26550","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"broken","Tue Aug 03 16:32:04 GMT 2021","Tue Aug 03 16:32:28 GMT 2021","24399","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Tue Aug 03 16:29:28 GMT 2021","Tue Aug 03 16:29:29 GMT 2021","1286","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 16:29:33 GMT 2021","Tue Aug 03 16:29:35 GMT 2021","2219","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Tue Aug 03 16:32:53 GMT 2021","Tue Aug 03 16:32:54 GMT 2021","1174","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 03 16:28:18 GMT 2021","Tue Aug 03 16:28:19 GMT 2021","887","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Tue Aug 03 16:29:21 GMT 2021","Tue Aug 03 16:29:28 GMT 2021","6931","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 16:29:35 GMT 2021","Tue Aug 03 16:31:37 GMT 2021","121774","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 16:28:19 GMT 2021","Tue Aug 03 16:29:21 GMT 2021","62387","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 16:28:10 GMT 2021","Tue Aug 03 16:28:18 GMT 2021","7858","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Tue Aug 03 16:32:28 GMT 2021","Tue Aug 03 16:32:53 GMT 2021","24846","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
