"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 03 15:05:17 GMT 2021","Tue Aug 03 15:05:42 GMT 2021","24971","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Tue Aug 03 15:05:10 GMT 2021","Tue Aug 03 15:05:17 GMT 2021","7016","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Tue Aug 03 14:58:20 GMT 2021","Tue Aug 03 14:59:30 GMT 2021","69993","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 14:59:42 GMT 2021","Tue Aug 03 15:04:42 GMT 2021","299823","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 14:59:30 GMT 2021","Tue Aug 03 14:59:34 GMT 2021","4459","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 14:59:40 GMT 2021","Tue Aug 03 14:59:42 GMT 2021","2298","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Tue Aug 03 14:58:19 GMT 2021","Tue Aug 03 14:58:20 GMT 2021","1058","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Tue Aug 03 15:05:42 GMT 2021","Tue Aug 03 15:05:43 GMT 2021","1368","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 03 14:59:34 GMT 2021","Tue Aug 03 14:59:36 GMT 2021","1614","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 14:58:09 GMT 2021","Tue Aug 03 14:58:19 GMT 2021","9301","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Tue Aug 03 15:04:42 GMT 2021","Tue Aug 03 15:05:10 GMT 2021","27729","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Tue Aug 03 14:59:36 GMT 2021","Tue Aug 03 14:59:40 GMT 2021","4028","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
