"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 18:06:25 GMT 2021","Thu Aug 12 18:06:27 GMT 2021","1178","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Thu Aug 12 18:06:41 GMT 2021","Thu Aug 12 18:08:42 GMT 2021","120592","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Thu Aug 12 18:06:27 GMT 2021","Thu Aug 12 18:06:30 GMT 2021","3162","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"passed","Thu Aug 12 18:05:14 GMT 2021","Thu Aug 12 18:05:15 GMT 2021","808","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Thu Aug 12 18:04:57 GMT 2021","Thu Aug 12 18:05:06 GMT 2021","8258","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"failed","Thu Aug 12 18:05:16 GMT 2021","Thu Aug 12 18:06:20 GMT 2021","64102","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Thu Aug 12 18:06:20 GMT 2021","Thu Aug 12 18:06:24 GMT 2021","3928","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Thu Aug 12 18:05:06 GMT 2021","Thu Aug 12 18:05:14 GMT 2021","8688","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"passed","Thu Aug 12 18:05:15 GMT 2021","Thu Aug 12 18:05:16 GMT 2021","1032","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Thu Aug 12 18:06:33 GMT 2021","Thu Aug 12 18:06:39 GMT 2021","6127","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Thu Aug 12 18:08:42 GMT 2021","Thu Aug 12 18:08:46 GMT 2021","4648","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Thu Aug 12 18:06:30 GMT 2021","Thu Aug 12 18:06:33 GMT 2021","2890","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
"passed","Thu Aug 12 18:06:39 GMT 2021","Thu Aug 12 18:06:41 GMT 2021","2055","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Thu Aug 12 18:06:24 GMT 2021","Thu Aug 12 18:06:25 GMT 2021","1089","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
