"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 17:27:32 GMT 2021","Tue Aug 03 17:27:33 GMT 2021","1517","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 17:31:16 GMT 2021","Tue Aug 03 17:31:17 GMT 2021","1048","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 03 17:26:26 GMT 2021","Tue Aug 03 17:26:27 GMT 2021","1148","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Tue Aug 03 17:27:38 GMT 2021","Tue Aug 03 17:30:00 GMT 2021","141212","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 17:27:28 GMT 2021","Tue Aug 03 17:27:32 GMT 2021","3708","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"broken","Tue Aug 03 17:30:00 GMT 2021","Tue Aug 03 17:30:27 GMT 2021","26981","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"broken","Tue Aug 03 17:30:51 GMT 2021","Tue Aug 03 17:31:16 GMT 2021","24246","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Tue Aug 03 17:27:36 GMT 2021","Tue Aug 03 17:27:38 GMT 2021","2066","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"broken","Tue Aug 03 17:30:27 GMT 2021","Tue Aug 03 17:30:51 GMT 2021","24600","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Tue Aug 03 17:26:10 GMT 2021","Tue Aug 03 17:26:26 GMT 2021","15608","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Tue Aug 03 17:26:10 GMT 2021","Tue Aug 03 17:27:28 GMT 2021","77548","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 17:27:33 GMT 2021","Tue Aug 03 17:27:36 GMT 2021","3288","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
