"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 16:30:12 GMT 2021","Sun Aug 01 16:30:12 GMT 2021","709","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Sun Aug 01 16:31:11 GMT 2021","Sun Aug 01 16:31:14 GMT 2021","3385","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Sun Aug 01 16:34:38 GMT 2021","Sun Aug 01 16:35:02 GMT 2021","24485","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Sun Aug 01 16:30:00 GMT 2021","Sun Aug 01 16:30:12 GMT 2021","11575","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Sun Aug 01 16:35:29 GMT 2021","Sun Aug 01 16:35:54 GMT 2021","25482","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Sun Aug 01 16:35:02 GMT 2021","Sun Aug 01 16:35:29 GMT 2021","26231","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Sun Aug 01 16:30:12 GMT 2021","Sun Aug 01 16:31:06 GMT 2021","53354","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Sun Aug 01 16:35:54 GMT 2021","Sun Aug 01 16:35:55 GMT 2021","922","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 01 16:31:09 GMT 2021","Sun Aug 01 16:31:11 GMT 2021","1124","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Sun Aug 01 16:31:06 GMT 2021","Sun Aug 01 16:31:09 GMT 2021","3781","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Sun Aug 01 16:31:16 GMT 2021","Sun Aug 01 16:34:38 GMT 2021","202001","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Sun Aug 01 16:31:14 GMT 2021","Sun Aug 01 16:31:16 GMT 2021","1905","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
