"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 10:00:21 GMT 2021","Fri Aug 06 10:00:26 GMT 2021","4953","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","sendFileFromOuterSourceTest()",""
"passed","Fri Aug 06 10:00:26 GMT 2021","Fri Aug 06 10:00:27 GMT 2021","857","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"passed","Fri Aug 06 10:01:48 GMT 2021","Fri Aug 06 10:03:44 GMT 2021","115667","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Fri Aug 06 10:01:27 GMT 2021","Fri Aug 06 10:01:28 GMT 2021","1378","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","clickOnExternalLinkTest()",""
"passed","Fri Aug 06 10:01:37 GMT 2021","Fri Aug 06 10:01:42 GMT 2021","5751","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","newDataSendTest()",""
"passed","Fri Aug 06 10:01:46 GMT 2021","Fri Aug 06 10:01:48 GMT 2021","2131","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Fri Aug 06 10:01:42 GMT 2021","Fri Aug 06 10:01:46 GMT 2021","3723","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Fri Aug 06 10:01:29 GMT 2021","Fri Aug 06 10:01:37 GMT 2021","7138","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","deleteSendedDataTest()",""
"failed","Fri Aug 06 10:00:27 GMT 2021","Fri Aug 06 10:01:23 GMT 2021","55771","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Fri Aug 06 10:03:44 GMT 2021","Fri Aug 06 10:03:45 GMT 2021","1196","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Fri Aug 06 10:01:28 GMT 2021","Fri Aug 06 10:01:29 GMT 2021","1251","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Fri Aug 06 10:00:08 GMT 2021","Fri Aug 06 10:00:21 GMT 2021","13226","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Fri Aug 06 10:01:23 GMT 2021","Fri Aug 06 10:01:27 GMT 2021","4281","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
