"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","141","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Sun Aug 01 15:35:22 GMT 2021","Sun Aug 01 15:35:22 GMT 2021","161","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","165","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"broken","Sun Aug 01 15:35:22 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","141","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Sun Aug 01 15:35:22 GMT 2021","Sun Aug 01 15:35:22 GMT 2021","137","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"broken","Sun Aug 01 15:35:22 GMT 2021","Sun Aug 01 15:35:22 GMT 2021","146","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"broken","Sun Aug 01 15:35:19 GMT 2021","Sun Aug 01 15:35:22 GMT 2021","2950","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Sun Aug 01 15:35:22 GMT 2021","Sun Aug 01 15:35:22 GMT 2021","194","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","176","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","141","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:24 GMT 2021","156","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Sun Aug 01 15:35:23 GMT 2021","Sun Aug 01 15:35:23 GMT 2021","151","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
