"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 07:28:00 GMT 2021","Tue Aug 17 07:28:03 GMT 2021","3050","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
"passed","Tue Aug 17 07:26:36 GMT 2021","Tue Aug 17 07:26:44 GMT 2021","8485","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"passed","Tue Aug 17 07:28:03 GMT 2021","Tue Aug 17 07:28:06 GMT 2021","2879","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Tue Aug 17 07:28:06 GMT 2021","Tue Aug 17 07:28:09 GMT 2021","3678","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"passed","Tue Aug 17 07:30:02 GMT 2021","Tue Aug 17 07:30:06 GMT 2021","4027","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
"passed","Tue Aug 17 07:27:58 GMT 2021","Tue Aug 17 07:28:00 GMT 2021","1445","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Tue Aug 17 07:26:44 GMT 2021","Tue Aug 17 07:26:53 GMT 2021","8666","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
"passed","Tue Aug 17 07:27:53 GMT 2021","Tue Aug 17 07:27:57 GMT 2021","4302","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"passed","Tue Aug 17 07:26:54 GMT 2021","Tue Aug 17 07:26:55 GMT 2021","1116","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Tue Aug 17 07:28:11 GMT 2021","Tue Aug 17 07:30:02 GMT 2021","110365","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Tue Aug 17 07:28:09 GMT 2021","Tue Aug 17 07:28:11 GMT 2021","2207","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Tue Aug 17 07:27:57 GMT 2021","Tue Aug 17 07:27:58 GMT 2021","1216","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Tue Aug 17 07:26:55 GMT 2021","Tue Aug 17 07:27:53 GMT 2021","57740","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
"passed","Tue Aug 17 07:26:53 GMT 2021","Tue Aug 17 07:26:54 GMT 2021","863","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
