"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 15:32:21 GMT 2021","Tue Aug 03 15:32:22 GMT 2021","1325","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 03 15:28:52 GMT 2021","Tue Aug 03 15:31:04 GMT 2021","131842","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 15:27:34 GMT 2021","Tue Aug 03 15:27:35 GMT 2021","1018","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Tue Aug 03 15:31:53 GMT 2021","Tue Aug 03 15:32:21 GMT 2021","27653","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Tue Aug 03 15:31:29 GMT 2021","Tue Aug 03 15:31:53 GMT 2021","24414","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"passed","Tue Aug 03 15:27:25 GMT 2021","Tue Aug 03 15:27:34 GMT 2021","8626","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Tue Aug 03 15:28:44 GMT 2021","Tue Aug 03 15:28:46 GMT 2021","1298","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 15:28:46 GMT 2021","Tue Aug 03 15:28:50 GMT 2021","3861","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Tue Aug 03 15:28:40 GMT 2021","Tue Aug 03 15:28:44 GMT 2021","4313","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 15:28:50 GMT 2021","Tue Aug 03 15:28:52 GMT 2021","2172","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Tue Aug 03 15:27:35 GMT 2021","Tue Aug 03 15:28:40 GMT 2021","65411","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"broken","Tue Aug 03 15:31:04 GMT 2021","Tue Aug 03 15:31:29 GMT 2021","25143","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
