"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 15:53:56 GMT 2021","Sun Aug 01 15:53:58 GMT 2021","2098","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Sun Aug 01 15:53:49 GMT 2021","Sun Aug 01 15:53:50 GMT 2021","924","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Sun Aug 01 15:59:07 GMT 2021","Sun Aug 01 15:59:31 GMT 2021","24133","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Sun Aug 01 15:53:40 GMT 2021","Sun Aug 01 15:53:49 GMT 2021","8577","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Sun Aug 01 15:54:43 GMT 2021","Sun Aug 01 15:54:49 GMT 2021","6213","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Sun Aug 01 15:53:51 GMT 2021","Sun Aug 01 15:53:56 GMT 2021","4570","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"passed","Sun Aug 01 15:54:49 GMT 2021","Sun Aug 01 15:58:18 GMT 2021","209705","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"broken","Sun Aug 01 15:59:31 GMT 2021","Sun Aug 01 15:59:32 GMT 2021","620","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 01 15:53:50 GMT 2021","Sun Aug 01 15:53:51 GMT 2021","1403","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Sun Aug 01 15:53:40 GMT 2021","Sun Aug 01 15:54:42 GMT 2021","62061","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"broken","Sun Aug 01 15:58:43 GMT 2021","Sun Aug 01 15:59:07 GMT 2021","24711","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Sun Aug 01 15:58:18 GMT 2021","Sun Aug 01 15:58:43 GMT 2021","24130","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
