"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 14:34:08 GMT 2021","Tue Aug 03 14:34:10 GMT 2021","1392","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"passed","Tue Aug 03 14:39:15 GMT 2021","Tue Aug 03 14:39:16 GMT 2021","1294","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Tue Aug 03 14:38:23 GMT 2021","Tue Aug 03 14:38:48 GMT 2021","24342","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Tue Aug 03 14:38:48 GMT 2021","Tue Aug 03 14:39:15 GMT 2021","27223","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"passed","Tue Aug 03 14:33:03 GMT 2021","Tue Aug 03 14:33:04 GMT 2021","926","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Tue Aug 03 14:37:56 GMT 2021","Tue Aug 03 14:38:23 GMT 2021","27300","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"passed","Tue Aug 03 14:34:03 GMT 2021","Tue Aug 03 14:34:08 GMT 2021","5574","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"passed","Tue Aug 03 14:34:16 GMT 2021","Tue Aug 03 14:37:56 GMT 2021","219610","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"passed","Tue Aug 03 14:33:04 GMT 2021","Tue Aug 03 14:34:03 GMT 2021","58404","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"passed","Tue Aug 03 14:32:49 GMT 2021","Tue Aug 03 14:33:03 GMT 2021","14284","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"passed","Tue Aug 03 14:34:14 GMT 2021","Tue Aug 03 14:34:16 GMT 2021","2289","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"passed","Tue Aug 03 14:34:10 GMT 2021","Tue Aug 03 14:34:14 GMT 2021","4188","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
