"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:40 GMT 2021","157","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","newDataTypingTest","newDataTypingTest()",""
"broken","Tue Aug 03 15:44:35 GMT 2021","Tue Aug 03 15:44:38 GMT 2021","2780","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","dataModifingTest()",""
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","136","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","repeatedDataSendingTest","repeatedDataSendingTest()",""
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","145","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","invalidLoginTest()",""
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","160","","main.MainPageTest","","main.MainPageTest","validLoginTest","validLoginTest()",""
"broken","Tue Aug 03 15:44:38 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","183","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","loggingOutTest()",""
"broken","Tue Aug 03 15:44:40 GMT 2021","Tue Aug 03 15:44:40 GMT 2021","149","","sandbox.SandBoxPageTest","","sandbox.SandBoxPageTest","deleteDataTest","deleteDataTest()",""
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","156","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","dataListTest()",""
"broken","Tue Aug 03 15:44:38 GMT 2021","Tue Aug 03 15:44:38 GMT 2021","187","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","morePagesListsTest()",""
"broken","Tue Aug 03 15:44:38 GMT 2021","Tue Aug 03 15:44:38 GMT 2021","187","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","searchAndSaveToFileTest()",""
"broken","Tue Aug 03 15:44:39 GMT 2021","Tue Aug 03 15:44:39 GMT 2021","141","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","clickEnglishButtonTest()",""
"broken","Tue Aug 03 15:44:40 GMT 2021","Tue Aug 03 15:44:40 GMT 2021","148","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","privacyPolicyTest()",""
