"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 07:47:19 GMT 2021","Sun Aug 15 07:47:23 GMT 2021","3233","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","deleteSendedDataTest","TC-12, Adat(ok) törlése.",""
"passed","Sun Aug 15 07:47:31 GMT 2021","Sun Aug 15 07:49:40 GMT 2021","128571","","ferrari.FerrariPageTest","","ferrari.FerrariPageTest","dataListTest","TC-09, Ellenőrizze, hogy a megjelölt, megfelelő adatot találja meg, listaként járja be weboldalt és a találatokat számolja meg.",""
"passed","Sun Aug 15 07:47:26 GMT 2021","Sun Aug 15 07:47:29 GMT 2021","3282","","main.MainPageTest","","main.MainPageTest","validLoginTest","TC-03, Sikeres bejelentkezés, helyes adatokkal.",""
"passed","Sun Aug 15 07:47:17 GMT 2021","Sun Aug 15 07:47:18 GMT 2021","1201","","special.SpecialPagesTest","","special.SpecialPagesTest","clickOnExternalLinkTest","TC-14, Átnavigálás másik weboldalra.",""
"passed","Sun Aug 15 07:47:29 GMT 2021","Sun Aug 15 07:47:31 GMT 2021","2096","","main.MainPageTest","","main.MainPageTest","invalidLoginTest","TC-04, Sikertelen bejelentkezés, helytelen jelszóval.",""
"passed","Sun Aug 15 07:45:46 GMT 2021","Sun Aug 15 07:45:59 GMT 2021","13112","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","dataModifingTest","TC-05, Bevitt adat módosítása.",""
"passed","Sun Aug 15 07:46:07 GMT 2021","Sun Aug 15 07:46:08 GMT 2021","845","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest","TC-06, File lementése eltérő tartalom esetén.",""
"passed","Sun Aug 15 07:47:23 GMT 2021","Sun Aug 15 07:47:26 GMT 2021","2868","","external.ExternalLinkPageTest","","external.ExternalLinkPageTest","newDataSendTest","TC-10, Új adat küldése.",""
"passed","Sun Aug 15 07:49:40 GMT 2021","Sun Aug 15 07:49:43 GMT 2021","3908","","privacy_policy.PrivacyAndPolicyPageTest","","privacy_policy.PrivacyAndPolicyPageTest","privacyPolicyTest","TC-13, Adatvédelmi nyilatkozat használata.",""
"passed","Sun Aug 15 07:46:09 GMT 2021","Sun Aug 15 07:47:13 GMT 2021","63842","","searchresult.SearchResultPageTest","","searchresult.SearchResultPageTest","morePagesListsTest","TC-11, Többoldalas lista bejárása.",""
"passed","Sun Aug 15 07:46:08 GMT 2021","Sun Aug 15 07:46:09 GMT 2021","1009","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","searchAndSaveToFileTest2","TC-07, File nem kerül lementésre, azonos tartalom esetén.",""
"passed","Sun Aug 15 07:47:18 GMT 2021","Sun Aug 15 07:47:19 GMT 2021","1127","","starter.StarterPageTest","","starter.StarterPageTest","clickEnglishButtonTest","TC-02, A nyelv kiválasztása a honlapon.",""
"passed","Sun Aug 15 07:47:13 GMT 2021","Sun Aug 15 07:47:17 GMT 2021","3886","","logout.LogOutPageTest","","logout.LogOutPageTest","loggingOutTest","TC-15, Kijelentkezés a weboldalról, a fiókból.",""
"passed","Sun Aug 15 07:45:59 GMT 2021","Sun Aug 15 07:46:07 GMT 2021","8526","","loggedinmainpage.LoggedInMainPageTest","","loggedinmainpage.LoggedInMainPageTest","sendFileFromOuterSourceTest","TC-08, Adadbevitel külső forrásból, folyamatosan.",""
